Name,Tags,Server end time,File name,Duration,User Name,n_rnn_layers,Epochs,rnn_dim,n_cnn_layers,n_feats,Batch size,Learning Rate,train_curr_step,imag
130_arranged_bce_dp0.1_hubert_base__wav2vasr_us4k_hk1k_3_0711,,1720725072125,main.py,38728,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_arranged_bce_dp0.1_w2v_base_us4k_hk1k_0.01_domain_loss_change_0709_dwa,,1720644919152,main.py,45821,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
130_arranged_bce_test_w2v_hbase_us20k_ind5k_BCE_dropout0.1_1,,1720632200674,main.py,358049,gena0324,4,50,768,4,128,2,1.0E-5,492506,0
128_arranged_bce_test2_w2v_base_us20k_ind5k_BCE_dropout0.1_0.001,,1720582895489,main.py,224025,gena0324,4,50,768,4,128,2,1.0E-5,509999,0.0
abundant_harrier_5587,,1720569734224,main.py,0,gena0324,,,,,,,,,
130_arranged_bce_dp0.1_hubert_base__wav2vasr_us4k_hk1k_0.5_0701,,1720540397222,main.py,91291,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
extensive_llama_9741,,1720495378200,main.py,0,gena0324,,,,,,,,,
surprised_dust_4847,,1720489713773,main.py,0,gena0324,,,,,,,,,
130_arranged_bce_dp0.1_hubert_base__wav2vasr_us4k_hk1k_2_0701,,1720448350161,main.py,90073,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_arranged_bce_dp0.1_w2v_hubert_us4k_hk1k_0.001_domain_loss_change_0707_dwa,,1720440922985,main.py,81985,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_hubert_us4k_hk1k_24_domain_loss_change_0702_dwa,,1720344209152,main.py,82476,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
